x,y
-2,5.6488697847251E-05
-1.998,5.72377082021636E-05
-1.996,5.80067958586773E-05
-1.994,5.87968330555795E-05
-1.992,5.96086875936625E-05
-1.99,6.04432758744442E-05
-1.988,6.11662297422704E-05
-1.986,6.1602640828209E-05
-1.984,6.20453241092618E-05
-1.982,6.24944157821835E-05
-1.98,6.29500560157139E-05
-1.978,6.34124205115401E-05
-1.976,6.38815954628097E-05
-1.974,6.43577648146044E-05
-1.972,6.48410861489815E-05
-1.97,6.53317218175285E-05
-1.968,6.58298729792029E-05
-1.966,6.6335644888709E-05
-1.964,6.6849248677116E-05
-1.962,6.73708676788789E-05
-1.96,6.79006909956257E-05
-1.958,6.84389503175995E-05
-1.956,6.89857743787912E-05
-1.954,6.95414070182492E-05
-1.952,7.01060628051736E-05
-1.95,7.0679963334769E-05
-1.948,7.1263377193715E-05
-1.946,7.18564622256753E-05
-1.944,7.24595019314986E-05
-1.942,7.30727490596165E-05
-1.94,7.36964649878458E-05
-1.938,7.43309632595986E-05
-1.936,7.49764380685835E-05
-1.934,7.5633221419801E-05
-1.932,7.63016131234006E-05
-1.93,7.69819236820454E-05
-1.928,7.76745219072493E-05
-1.926,7.83796477447175E-05
-1.924,7.90976930663457E-05
-1.922,7.98290162258712E-05
-1.92,8.05739889538097E-05
-1.918,8.1332996987502E-05
-1.916,8.21064934048601E-05
-1.914,8.28947896738997E-05
-1.912,8.36983693857521E-05
-1.91,8.45176813630589E-05
-1.908,8.53531921760463E-05
-1.906,8.62054450861213E-05
-1.904,8.70748299319728E-05
-1.902,8.79619289776144E-05
-1.9,8.88672892005415E-05
-1.898,8.97914803318076E-05
-1.896,9.07351603708516E-05
-1.894,9.16988209537537E-05
-1.892,9.26831705464469E-05
-1.89,9.36888826429634E-05
-1.888,9.47166602905582E-05
-1.886,9.57673093800339E-05
-1.884,9.68414554060229E-05
-1.882,9.79399704496745E-05
-1.88,9.90636933111885E-05
-1.878,0.000100213501733772
-1.876,0.000101390395002721
-1.874,0.000102595177064848
-1.872,0.000103828935339719
-1.87,0.000105092727911643
-1.868,0.000106387665015164
-1.866,0.000107715002932709
-1.864,0.000109075787220408
-1.862,0.000110471393518954
-1.86,0.000111903175777159
-1.858,0.000113372559057803
-1.856,0.000114881147375459
-1.854,0.000116430319182805
-1.852,0.00011802184326146
-1.85,0.000119657480462177
-1.848,0.000121339090620393
-1.846,0.000122559990961201
-1.844,0.000123436074578533
-1.842,0.000124324773216559
-1.84,0.000125226361323056
-1.838,0.000126141121365005
-1.836,0.000127069344123638
-1.834,0.000128011393013978
-1.832,0.000128967449321082
-1.83,0.000129937893747348
-1.828,0.0001309230535552
-1.826,0.000131923266007806
-1.824,0.000132938947788228
-1.822,0.000133970320340829
-1.82,0.000135017821297585
-1.818,0.000136081831959137
-1.816,0.00013716274574099
-1.814,0.000138261043330795
-1.812,0.000139376995717968
-1.81,0.000140511109159568
-1.808,0.000141663830623183
-1.806,0.000142835621865009
-1.804,0.000144027041076962
-1.802,0.000145238420781803
-1.8,0.000146470350624845
-1.798,0.000147723358005827
-1.796,0.000148997988527155
-1.794,0.000150294895022538
-1.792,0.000151614487001131
-1.79,0.000152957456317501
-1.788,0.000154324429738076
-1.786,0.000155716056636849
-1.784,0.000157133106472411
-1.782,0.000158576085859039
-1.78,0.000160045813114004
-1.778,0.000161543038914835
-1.776,0.000163068542294629
